% site name: KAGA
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2006.4090   -88.1     2.2   148.4     2.3  -155.8    10.1
2006.4390   -85.6     2.3   149.3     2.3  -154.7     3.8
2006.4420   -85.6     2.3   149.1     2.3  -158.3     3.8
2006.4552   -87.2     2.3   149.2     2.3  -166.5     3.9
2006.4990   -85.3     2.4   147.3     2.3  -155.7     3.9
2006.5020   -85.6     2.2   148.1     2.3  -164.8     3.8
2006.5043   -87.4     2.2   146.5     2.3  -147.8     3.8
2006.5072   -86.1     2.1   144.7     2.3  -151.7     3.8
2006.5130   -88.3     2.3   146.4     2.3  -148.6     3.9
2006.5153   -88.0     2.2   147.7     2.3  -147.5     3.9
2006.5240   -86.9     2.2   146.5     2.3  -145.9     3.9
2006.5263   -88.6     2.2   146.7     2.3  -154.5     3.9
2006.5290   -85.6     2.3   146.3     2.3  -152.2     3.9
2006.5320   -87.6     2.3   145.9     2.3  -149.0     3.9
2006.5350   -88.9     2.2   146.4     2.3  -146.1     4.3
2006.5373   -89.0     2.3   146.3     2.3  -151.2     4.0
2006.5400   -86.9     2.2   146.6     2.3  -147.4     3.9
2006.5430   -88.0     2.1   146.9     2.3  -151.1     3.9
2006.5460   -88.4     2.3   148.2     2.3  -152.9     3.9
2006.5482   -87.8     2.2   148.1     2.3  -148.3     3.8
2006.5540   -85.7     2.3   145.3     2.3  -144.3     3.8
2006.5570   -85.9     2.2   145.3     2.2  -148.5     3.8
2006.5592   -86.1     2.2   145.9     2.3  -146.9     4.1
2006.5620   -85.9     2.1   145.4     2.3  -147.0     3.8
2006.5650   -85.9     2.2   145.7     2.3  -144.7     3.8
2006.5673   -86.0     2.2   145.9     2.2  -147.3     3.7
2006.5701   -85.9     2.2   145.8     2.3  -154.4     3.8
2006.5730   -85.9     2.2   145.5     2.3  -148.4     3.9
2006.5760   -87.2     2.3   146.4     2.2  -148.3     3.9
2006.5783   -88.3     2.2   147.0     2.2  -153.7     3.8
2006.5810   -86.3     2.2   146.2     2.3  -149.2     3.9
2006.5840   -86.7     2.2   146.6     2.3  -151.9     3.8
2006.5870   -86.0     2.2   144.9     2.3  -149.4     3.8
2006.5893   -86.6     2.3   144.8     2.3  -147.2     3.8
2006.5920   -86.0     2.3   144.6     2.3  -142.7     3.9
2006.5950   -85.6     2.2   145.2     2.3  -147.3     3.8
2006.5980   -85.0     2.2   144.2     2.3  -144.5     3.8
2006.6002   -86.8     2.2   144.6     2.5  -146.7     3.9
2006.6030   -83.7     2.4   143.2     2.3  -146.7     3.7
2006.6060   -86.7     2.3   142.4     2.3  -147.7     3.8
2006.6090   -86.0     2.3   143.6     2.3  -145.2     3.9
2006.6112   -87.2     2.2   143.8     2.3  -144.3     3.8
2006.6140   -87.1     2.2   142.7     2.3  -142.8     3.8
2006.6170   -86.9     2.2   145.3     2.2  -141.7     3.8
2006.6193   -86.5     2.2   146.6     2.3  -141.6     3.7
2006.6221   -88.3     2.1   148.1     2.3  -138.4     3.7
2006.6250   -87.7     2.3   145.6     2.3  -143.0     3.7
2006.6280   -86.0     2.2   143.4     2.3  -144.2     3.8
2006.6303   -86.0     2.2   144.0     2.3  -139.1     3.7
2006.6331   -86.2     2.3   143.0     2.3  -138.7     3.8
2006.6360   -85.8     2.2   143.1     2.5  -138.9     3.9
2006.6390   -87.1     2.4   143.0     2.5  -145.0     3.7
2006.6413   -86.6     2.4   142.7     2.3  -146.0     3.7
2006.6440   -86.8     2.3   143.0     2.3  -142.8     3.8
2006.6470   -86.4     2.2   142.8     2.3  -139.3     3.7
2006.6500   -85.6     2.2   145.3     2.3  -143.0     3.9
2006.6523   -87.2     2.2   144.0     2.3  -138.1     3.8
2006.6550   -87.8     2.2   144.4     2.3  -136.2     3.9
2006.6580   -85.8     2.3   143.7     2.5  -135.3     3.8
2006.6610   -86.8     2.4   142.2     2.3  -138.7     3.8
2006.6910   -82.2    26.6   149.3    55.3  -130.8     3.8
2006.7620   -82.1    25.8   141.2    38.7  -148.6     3.8
2006.8440   -83.1    12.5   139.4    42.6  -138.2    65.5
2006.8493   -80.8    13.9   137.9    33.4  -157.4    29.3
2006.8550   -80.1    13.4   139.5    37.4  -156.7    28.9
2006.8580   -88.4    12.8   139.2    28.5  -126.5    26.5
2007.0990   -85.7    19.8   134.0    35.8  -145.0    34.9
2007.1834   -77.6    12.8   135.3    35.2  -133.1    28.9
2007.1943   -81.5     8.8   131.9    36.0  -152.2    24.9
2007.3614   -76.3     8.6   127.7    35.6  -137.0    27.1
2007.3641   -78.1     8.9   129.4    35.3  -134.8    41.6
2007.3670   -78.1     7.2   129.1    36.3  -138.2    44.2
2007.3700   -77.9     9.7   129.3    49.5  -133.7    44.3
2007.3723   -77.1     5.2   128.5    35.8  -136.2    48.7
2007.3751   -77.2     8.1   129.8    36.2  -136.0    41.7
2007.3780   -75.9     6.1   130.1    36.5  -132.1    29.9
2007.3810   -76.8     5.5   128.1    37.0  -128.0    31.7
2007.3833   -77.2     6.0   126.9    37.8  -130.7    37.7
2007.3860   -76.6     6.5   127.3    41.9  -137.0    36.8
2007.3890   -76.1    15.6   127.8    42.1  -138.0    27.5
2007.3914   -75.9     4.5   128.2    39.1  -136.6    27.8
2007.3942   -78.4    12.3   126.9    40.1  -138.3    28.3
2007.3970   -77.0    13.4   128.1    42.5  -133.1    28.9
2007.4000   -76.9    15.9   127.8    40.4  -134.4    31.3
2007.4024   -76.7    13.5   128.7    69.4  -133.6    63.2
2007.4051   -77.2    20.7   127.2    66.7  -133.3    32.5
2007.4080   -76.1    17.8   128.8    44.1  -140.1    34.6
2007.4110   -77.8    20.7   128.6    39.2  -137.5    41.8
2007.4134   -75.5    38.4   128.5    38.9  -140.9    34.2
2007.4161   -76.0    14.4   127.9    39.1  -136.2    40.8
2007.4190   -75.1    19.6   127.9    40.3  -134.7    46.2
2007.4220   -75.2    16.0   128.7    40.6  -135.9    48.8
2007.4243   -76.3    31.0   127.4   106.3  -142.3    36.1
2007.4271   -76.2    11.3   127.1    52.7  -139.1    35.7
2007.4300   -74.8    15.7   126.9    42.2  -137.2    40.7
2007.4330   -76.2    13.1   128.4    42.0  -138.9   101.9
2007.4353   -77.1     9.6   128.2    77.7  -143.5    83.0
2007.4381   -75.3     9.3   127.6    63.6  -129.6    82.7
2007.4410   -75.9     9.0   128.9    41.5  -140.1    41.7
2007.4434   -75.0     9.7   129.2    69.9  -138.2    63.3
2007.4462   -75.7    11.9   127.7   165.6  -146.5    47.0
2007.4490   -75.9    16.7   129.0    48.6  -136.8    66.9
2007.4520   -75.1    20.8   125.8    48.1  -143.5    61.7
2007.4544   -76.0    19.7   126.8    43.2  -132.2   469.1
2007.4572   -75.4    21.5   127.0    64.1  -135.9    73.3
2007.4600   -74.7    19.2   127.0    37.0  -125.0    82.3
2007.4630   -74.7    12.7   127.8    50.1  -135.2    64.1
2007.4654   -76.4     1.5   128.1    40.2  -137.0    58.4
2007.4681   -75.5    16.3   127.4    32.9  -139.5    80.7
2007.4710   -77.1     9.6   126.5    31.7  -138.0    72.4
2007.4740   -75.9    11.0   127.9    32.7  -132.5    50.0
2007.4764   -76.6    11.1   126.7    31.4  -134.6    49.6
2007.4791   -76.2    10.8   127.1    35.9  -135.1   328.4
2007.4820   -76.9    18.8   127.1    44.0  -134.4    46.4
2007.4850   -76.2    19.6   126.2    41.3  -130.0   317.8
2007.4873   -77.0    36.2   125.4    36.8  -127.2    33.0
2007.4901   -75.8    10.9   125.4    39.0  -127.9    35.0
2007.4930   -76.5    13.0   126.6    36.5  -132.3    37.7
2007.4960   -76.9    14.7   126.9    35.4  -138.2    40.3
2007.4982   -75.5    10.9   126.0    62.3  -133.4    39.1
2007.5010   -76.8    12.0   125.3    39.3  -131.4    40.6
2007.5040   -77.1    15.5   126.2    47.6  -130.5    45.5
2007.5064   -76.5    16.0   127.3    35.9  -135.7    45.0
2007.5092   -76.2     9.4   125.7    36.1  -128.9    36.3
2007.5120   -75.3     8.9   126.6    36.5  -130.1    31.7
2007.5150   -76.6    11.0   126.8    50.3  -131.8    30.3
2007.5174   -76.0    43.0   126.3    49.1  -126.7    30.4
2007.5201   -75.7    18.5   126.0   114.6  -127.2    33.2
2007.5230   -76.1    12.5   125.8    37.2  -128.3    30.5
2007.5260   -74.7    10.0   125.6    36.7  -121.2    27.6
2007.5284   -75.9    13.2   125.5    40.2  -135.5    28.6
2007.5311   -75.3    13.0   126.8    34.1  -130.4    27.3
2007.5340   -74.5    14.2   124.9    36.4  -125.4    26.5
2007.5370   -75.9    18.0   123.8    36.6  -128.2    26.4
2007.5393   -75.8   274.0   125.4    36.7  -133.3    27.4
2007.5421   -75.5    20.4   126.0    34.2  -127.9    28.5
2007.5450   -75.8    23.7   124.4    33.8  -130.7    27.5
2007.5480   -75.0    17.8   125.4    36.1  -130.9    28.2
2007.5502   -75.3    17.3   125.2    88.8  -127.4    31.3
2007.5531   -74.8    23.3   127.1    75.2  -126.1    33.7
2007.5560   -75.5    41.5   126.0    87.8  -126.8    30.2
2007.5584   -77.5    21.0   124.9    37.0  -126.6    31.5
2007.5612   -75.8    16.6   124.9    51.4  -123.1    33.2
2007.5640   -76.9    35.7   124.2    38.3  -124.4    34.7
2007.5670   -73.2    15.4   125.1    75.2  -122.4    36.0
2007.5694   -75.4   131.7   124.1    44.6  -124.2    42.0
2007.5722   -75.9    31.2   123.0   175.9  -123.6    36.9
2007.5750   -75.1    29.9   122.5    46.8  -119.7    40.1
2007.5780   -76.3    33.8   123.0    51.6  -124.1    41.0
2007.5804   -75.1    34.1   124.6    43.8  -127.9    45.1
2007.5831   -74.4    33.0   124.5    42.0  -118.8    36.5
2007.5860   -74.9    35.6   122.9    49.0  -133.3    41.5
2007.5941   -76.0    31.3   124.1    55.2  -119.1    31.9
2007.5970   -76.4    30.0   124.1    44.0  -121.5     5.6
2007.6000   -76.7    27.5   123.7    55.9  -116.4     3.9
2007.6022   -77.0    26.9   123.5   236.2  -127.7     3.8
2007.6051   -76.2    23.2   124.3    39.3  -130.7     3.8
2007.6110   -74.2    22.7   123.2   125.9  -123.5     3.8
2007.6132   -74.4    16.0   121.5    43.4  -119.6     3.8
2007.6160   -76.0    12.2   123.6    41.8  -119.5     4.0
2007.6190   -76.8    12.9   121.4    47.6  -123.5     3.8
2007.6214   -75.8    12.9   122.6    44.3  -116.5     3.8
2007.6242   -77.4    12.4   123.8    45.2  -123.3     3.7
2007.6270   -76.6    11.8   122.5    49.3  -122.4     3.9
2007.6300   -75.8    11.1   122.9    44.7  -120.7     4.0
2007.6324   -76.3    11.2   121.8    60.3  -121.1     4.3
2007.6351   -76.1    10.5   123.7    44.0  -116.8     4.1
2007.6380   -74.7    11.0   121.7    53.6  -130.7     3.9
2007.6410   -75.7    11.7   123.0    58.5  -116.2     3.8
2007.6434   -75.0    44.5   123.1    39.7  -116.6     3.8
2007.6461   -76.1    14.8   122.6    47.2  -114.7     3.8
2007.6490   -75.3    12.0   122.1    35.4  -115.0     3.9
2007.6520   -76.5    12.4   124.5    30.4  -117.0     3.8
2007.6542   -76.7    13.3   122.9    30.5  -118.5     3.8
2007.6571   -76.2    16.1   122.8    30.1  -119.8     3.8
2007.6600   -75.8    14.3   122.5    29.7  -117.6     3.8
2007.6630   -77.7    17.9   122.0    29.1  -117.1     3.8
2007.6652   -78.7    15.5   122.0    29.0  -121.6     3.8
2007.6680   -75.9    17.2   123.8    35.4  -122.2     3.8
2007.6710   -75.7    18.2   123.3    29.1  -113.3     3.8
2007.6734   -75.5    25.8   122.9    30.3  -110.3     3.9
2007.6762   -75.0    19.0   122.1    90.9  -114.7     5.4
2007.6790   -75.5    34.4   121.2    35.0  -109.2     3.8
2007.6820   -75.9    18.7   122.9    30.4  -114.0     3.8
2007.6844   -74.8     3.0   120.4    30.6  -113.3     3.9
2007.6872   -74.6     2.2   120.2    31.9  -108.4     3.8
2007.6900   -75.4     2.3   120.1    34.7  -117.2     4.0
2007.6930   -75.5     2.3   121.1    32.0  -119.0     3.8
2007.6954   -75.2     2.2   121.6    38.2  -117.6     3.9
2007.6981   -76.4     2.3   122.0    32.2  -114.8     3.7
2007.7010   -74.9     2.3   122.7    35.6  -114.3     3.8
2007.7040   -74.9     2.3   122.0    36.5  -113.7     3.8
2007.7064   -74.8     2.3   121.4    43.1  -115.0     3.8
2007.7091   -74.6     2.1   121.4    36.5  -115.1     3.9
2007.7120   -75.7     2.3   121.0    53.3  -110.9     3.8
2007.7150   -73.9     2.3   120.8    34.1  -109.9     3.8
2007.7172   -74.5     2.5   121.1     3.3  -116.3     3.8
2007.7200   -72.7     2.3   120.7     2.3  -110.2     3.8
2007.7230   -72.2     2.3   119.7     2.3  -109.4     3.7
2007.7260   -72.7     2.3   120.4     2.3  -108.8     3.7
2007.7282   -72.5     2.2   120.9     2.3  -112.3     3.8
2007.7310   -72.6     2.2   120.4     2.3  -114.5     3.8
2007.7340   -75.2     2.2   121.3     2.4  -116.7     3.8
2007.7364   -75.3     2.2   122.7     2.3  -128.5     3.7
2007.7392   -74.5     2.2   120.9     2.3  -114.3     3.7
2007.7420   -73.1     2.2   121.2     2.3  -112.4     3.8
2007.7450   -72.7     2.2   121.3     2.3  -109.7     3.9
2007.7474   -73.0     2.3   122.1     2.3  -114.3     3.8
2007.7501   -73.6     2.2   123.6     2.5  -108.7     3.8
2007.7530   -73.5     2.2   121.5     2.4  -112.2     3.9
2007.7560   -72.7     2.2   121.3     2.5  -110.7     3.8
2007.7584   -72.1     2.2   120.6     2.3  -112.7     3.7
2007.7611   -72.4     2.9   120.8     2.3  -114.4     3.8
2007.7640   -72.8     2.2   121.2     2.3  -117.4     3.9
2007.7670   -71.7     2.2   120.8     2.3  -115.3     3.8
2007.7692   -72.7     2.3   119.4     2.3  -121.1     3.7
2007.7720   -72.9     2.3   121.4     2.3  -120.8     3.8
2007.7750   -72.7     2.3   119.8     2.3  -115.8     3.9
2007.7780   -72.5     2.2   120.4     2.3  -112.9     3.8
2007.7802   -73.5     2.2   121.2     2.3  -112.2     3.8
2007.7830   -72.4     2.2   121.1     2.3  -112.8     3.7
2007.7860   -71.7     2.2   120.9     2.3  -115.2     3.7
2007.7884   -72.5     2.2   120.1     2.3  -111.3     3.9
2007.7912   -71.0     2.2   120.1     2.3  -112.4     3.8
2007.7940   -71.8     2.2   119.2     3.1  -114.2     3.7
2007.7970   -72.6     2.3   119.3     2.3  -114.8     3.7
2007.7994   -70.5     2.3   119.9     2.3  -114.4     3.7
2007.8022   -69.5     2.3   119.8     2.3  -115.5     3.7
2007.8050   -70.2     2.2   119.6     2.3  -114.3     3.8
2007.8080   -73.1     2.2   119.0     2.3  -113.7     3.8
2007.8104   -70.7     2.2   118.5     2.3  -113.6     3.7
2007.8131   -72.0     2.2   119.4     2.3  -113.4     3.8
2007.8160   -70.3     2.2   119.4     2.2  -107.5     3.7
2007.8190   -71.0     2.2   119.1     2.3  -110.5     3.8
2007.8214   -70.9     2.1   120.0     2.3  -109.6     4.1
2007.8240   -70.8     2.2   119.1     2.3  -108.8     4.0
2007.8270   -70.0     2.2   119.2     2.3  -110.2     3.9
2007.8300   -69.5     2.3   118.6     2.3  -111.4     4.0
2007.8322   -70.3     2.2   118.5     2.3  -111.1     4.3
2007.8350   -70.3     2.2   119.6     2.3  -111.9     5.7
2007.8380   -71.2     2.2   118.4     2.3  -117.0     6.7
2007.8410   -71.1     2.2   117.9     2.2  -115.4     4.2
2007.8432   -70.6     2.2   117.2     2.2  -119.4     3.9
2007.8460   -70.7     2.2   117.8     2.3  -116.6     3.7
2007.8490   -73.1     2.2   117.3     2.3  -115.6     3.9
2007.8514   -71.3     2.3   118.1     2.3  -116.3     4.0
2007.8542   -71.1     2.2   118.9     2.3  -114.4     3.9
2007.8570   -71.7     2.3   118.8     2.2  -111.8     3.8
2007.8600   -71.6     2.3   119.3     2.3  -113.9     3.8
2007.8624   -70.1     2.2   118.9     2.3  -113.5     3.8
2007.8651   -70.8     2.2   119.3     2.3  -112.0     3.8
2007.8680   -70.6     2.2   119.3     2.3  -111.5     3.9
2007.8710   -70.0     2.2   118.0     2.3  -112.6     3.9
2007.8734   -71.0     2.2   118.2     2.3  -108.8     3.7
2007.8760   -69.4     2.2   118.0     2.2  -114.2     3.9
2007.8790   -69.3     2.2   118.5     2.3  -114.4     3.9
2007.8820   -72.8     2.2   117.9     2.3  -111.9     3.9
2007.8842   -72.9     2.2   117.6     2.3  -110.3     4.0
2007.8870   -71.9     2.2   116.5     2.2  -115.9     4.0
2007.8900   -72.0     2.2   117.4     2.3  -114.0     3.9
2007.8930   -72.4     2.2   117.0     2.3  -109.8     3.9
2007.8952   -73.1     2.2   118.4     2.3  -111.3     3.8
2007.8980   -71.8     2.3   119.3     2.3  -112.8     3.9
2007.9010   -71.2     2.1   119.3     2.2  -108.7     4.5
2007.9034   -70.2     2.2   120.1     2.2  -109.5     4.0
2007.9062   -70.8     2.4   117.3     2.3  -111.1     3.8
2007.9090   -69.5     2.3   116.4     2.3  -109.7     4.2
2007.9120   -69.9     2.3   116.4     2.2  -113.6     4.0
2007.9144   -69.6     2.3   116.5     2.2  -116.2     4.0
2007.9172   -71.3     2.4   116.4     2.2  -124.6     4.0
2007.9200   -70.2     3.0   116.7     2.2  -118.2     3.8
2007.9230   -72.0     3.5   116.0     2.3  -112.0     3.9
2007.9254   -71.3     2.4   116.7     2.3  -107.0     3.9
2007.9281   -70.0     2.3   117.7     2.2  -107.6     3.7
2007.9310   -71.6     2.1   116.6     2.3  -111.5     3.8
2007.9340   -70.9     2.3   115.8     2.3  -109.7     3.9
2007.9364   -70.2     2.3   115.7     2.3  -111.9     3.8
2007.9390   -69.7     2.3   116.0     2.5  -111.9     3.8
2007.9420   -67.9     2.3   116.0     2.4  -109.2     3.8
2007.9450   -68.7     2.3   116.2     2.3  -101.7     3.9
2007.9472   -65.9     2.3   115.1     2.4  -104.2     3.7
2007.9500   -70.8     2.2   115.5     2.5  -109.6     3.8
2007.9530   -67.8     2.3   115.1     3.1  -105.2     3.7
2007.9560   -68.9     2.2   115.0     3.4  -109.5     3.8
2007.9582   -68.1     2.1   115.6     2.5  -111.4     4.1
2007.9610   -70.0     2.2   114.8     2.3  -117.6     3.9
2007.9640   -70.1     2.3   115.4     2.3  -117.4     3.7
2007.9664   -69.1     2.3   117.3     2.3  -109.9     3.8
2007.9692   -71.4     2.3   118.0     2.4  -113.9     3.7
2007.9720   -69.6     2.2   116.5     2.3  -105.6     4.0
2007.9750   -69.8     2.3   115.8     2.3  -109.7     4.4
2007.9774   -70.6     2.3   115.9     2.3  -105.5     4.0
2007.9801   -69.2     2.2   114.5     2.3  -106.0     4.0
2007.9830   -69.3     2.3   115.2     2.3  -105.3     3.8
2007.9860   -69.0     2.5   115.2     2.3  -106.3     4.1
2007.9884   -68.6     2.4   115.4     2.4  -110.1     4.0
2007.9910   -69.5     2.3   114.4     2.3  -108.2     3.8
2007.9940   -70.7     2.4   114.1     2.3  -112.3     3.7
2007.9970   -70.5     2.3   114.8     2.3  -110.1     3.8
2007.9992   -69.6     2.4   114.9     2.5  -109.8     3.8
2008.0020   -69.4     2.3   115.3     2.4  -110.5     3.9
2008.0050   -69.2     2.3   115.1     2.4  -112.0     4.0
2008.0080   -70.4     2.2   115.8     2.3  -107.7     3.7
2008.0102   -70.0     2.3   116.0     2.3  -109.6     3.7
2008.0130   -69.0     2.2   115.8     2.3  -110.6     3.7
2008.0160   -69.6     2.2   116.3     2.3  -109.3     3.9
2008.0184   -69.1     2.2   115.9     2.6  -109.5     3.8
2008.0212   -69.9     2.3   115.2     2.5  -113.4     3.8
2008.0240   -68.5     2.3   116.0     2.3  -114.2     3.8
2008.0270   -69.6     2.2   115.9     2.5  -112.2     3.9
2008.0294   -69.0     2.2   114.6     2.3  -115.9     3.9
2008.0322   -68.2     2.2   114.0     2.4  -114.0     4.1
2008.0350   -69.3     2.2   113.7     2.3  -110.9     3.8
2008.0380   -70.0     2.2   113.6     2.3  -108.6     3.8
2008.0404   -70.3     2.3   114.1     2.3  -112.8     4.0
2008.0430   -70.3     2.3   113.1     2.3  -109.9     3.8
2008.0460   -69.6     2.3   113.5     2.3  -106.3     4.0
2008.0490   -69.3     2.2   112.9     2.3  -109.7     4.5
2008.0513   -69.8     2.3   113.1     2.3  -107.4     4.1
2008.0540   -68.1     2.2   112.3     2.3  -100.3     3.9
2008.0570   -70.5     2.4   114.3     2.3  -101.0     4.0
2008.0600   -71.5     2.4   113.2     2.3  -106.2     3.7
2008.0622   -70.8     2.3   113.6     2.3  -105.2     3.8
2008.0650   -70.6     2.3   113.0     2.2  -103.6     3.8
2008.0680   -70.5     2.2   114.0     2.3  -109.0     3.7
2008.0710   -71.3     2.4   114.0     2.3  -116.0     3.7
2008.0732   -70.7     2.4   113.9     2.3  -118.3     3.8
2008.0760   -69.9     2.3   115.8     2.4  -119.8     3.7
2008.0790   -71.5     2.2   115.5     2.3  -114.7     3.7
2008.0814   -70.6     2.2   115.5     2.3  -112.6     3.8
2008.0842   -70.0     2.3   114.7     2.2  -114.4     3.8
2008.0870   -70.2     2.3   113.9     2.3  -110.6     3.9
2008.0900   -71.4     2.2   115.2     2.5  -108.1     3.7
2008.0924   -70.5     2.2   113.2     2.5  -108.5     3.7
2008.0950   -68.6     2.1   112.9     2.4  -113.3     3.7
2008.0980   -68.6     2.2   112.2     2.4  -114.5     4.0
2008.1010   -67.0     2.2   112.2     2.3  -116.6     3.9
2008.1033   -68.4     2.2   112.3     2.4  -115.7     4.0
2008.1060   -69.5     2.2   112.9     2.5  -110.2     3.8
2008.1090   -68.8     2.2   111.3     2.3  -115.5     3.8
2008.1120   -68.2     2.3   111.8     2.2  -113.8     3.9
2008.1142   -67.7     2.3   113.6     2.3  -120.3     3.8
2008.1170   -67.1     2.4   112.2     2.3  -113.8     4.3
2008.1200   -67.5     2.2   114.6     2.3  -116.3     4.1
2008.1230   -67.8     2.3   114.6     2.3  -116.6     4.1
2008.1252   -67.4     2.3   113.5     2.2  -115.1     3.9
2008.1280   -67.3     2.2   113.7     2.3  -109.4     4.0
2008.1310   -68.1     2.3   113.1     2.2  -109.9     4.3
2008.1334   -67.5     2.5   113.7     2.3  -109.8     4.2
2008.1362   -67.8     2.3   112.4     2.3  -110.6     3.8
2008.1390   -67.2     2.3   111.4     2.3  -107.7     3.8
2008.1420   -67.6     2.4   111.5     2.3  -104.7     3.8
2008.1444   -68.4     2.2   111.9     2.3  -108.4     3.7
2008.1472   -68.0     2.3   111.5     2.3  -113.2     3.8
2008.1500   -68.8     2.3   111.9     2.4  -112.2     3.7
2008.1530   -68.7     2.1   112.5     2.3  -110.5     3.8
2008.1553   -67.6     2.1   111.4     2.3  -110.3     3.8
2008.1580   -68.4     2.3   112.4     2.3  -109.9     3.8
2008.1610   -68.1     2.1   112.0     2.3  -110.8     3.8
2008.1640   -68.7     2.1   112.0     2.4  -113.0     3.8
2008.1663   -69.6     2.2   112.1     2.6  -110.4     3.7
2008.1690   -67.9     2.2   112.3     2.4  -113.3     3.8
2008.1720   -67.3     2.2   111.9     2.3  -115.5     3.8
2008.1750   -67.5     2.2   111.5     2.5  -111.8     4.1
2008.1772   -67.7     2.2   111.8     2.3  -108.8     4.0
2008.1800   -69.5     2.2   110.6     2.3  -109.7     3.8
2008.1830   -68.9     2.3   110.5     2.3  -109.7     3.7
2008.1860   -68.6     2.3   111.2     2.3  -107.7     3.8
2008.1882   -71.0     2.3   111.3     2.3  -106.5     3.9
2008.1910   -69.0     2.3   112.1     2.3  -107.2     4.0
2008.1940   -70.0     2.2   112.3     2.3  -107.0     4.5
2008.1964   -69.4     2.2   112.6     2.3  -109.3     4.0
2008.1992   -66.2     2.3   112.0     2.3  -104.0     4.2
2008.2020   -69.4     2.5   111.1     2.3  -114.6     3.9
2008.2050   -71.6     2.4   111.3     2.3  -113.8     3.8
2008.2073   -69.5     2.4   110.1     2.3  -115.7     3.7
2008.2100   -69.6     2.3   111.3     2.2  -112.6     3.7
2008.2130   -69.8     2.3   111.0     2.2  -116.4     3.8
2008.2160   -69.5     2.5   112.9     2.4  -115.4     3.8
2008.2183   -68.6     2.4   110.1     2.3  -118.2     3.8
2008.2210   -69.1     2.2   109.2     2.3  -108.2     3.7
2008.2240   -70.1     2.3   110.5     2.3  -115.1     3.7
2008.2270   -70.2     2.2   111.1     2.3  -115.1     3.7
2008.2292   -71.6     2.1   110.4     2.3  -119.8     3.8
2008.2320   -69.7     2.3   112.4     2.3  -111.6     3.8
2008.2350   -70.4     2.1   112.3     2.5  -112.1     3.7
2008.2380   -68.2     2.2   111.2     2.5  -115.6     3.7
2008.2402   -68.7     2.2   110.6     2.3  -115.3     3.8
2008.2430   -67.8     2.2   111.9     2.3  -116.1     4.2
2008.2460   -68.6     2.2   111.3     2.3  -120.4     4.5
2008.2484   -67.8     2.2   111.2     2.5  -117.5     4.0
2008.2512   -68.6     2.1   110.7     2.5  -120.2     4.3
2008.2540   -67.1     2.3   112.4     2.3  -125.8     3.9
2008.2570   -68.2     2.3   110.3     2.3  -125.1     3.8
2008.2593   -69.0     2.3   109.1     2.3  -123.0     3.8
2008.2622   -69.2     2.2   111.1     2.3  -127.4     3.7
2008.2650   -67.2     2.3   112.4     2.3  -119.5     3.9
2008.2680   -68.8     2.2   110.1     2.3  -123.9     4.2
2008.2703   -69.0     2.3   111.3     2.3  -117.4     3.8
2008.2730   -68.8     2.3   110.5     2.3  -116.2     4.1
2008.2760   -68.7     2.4   109.7     2.3  -119.4     4.0
2008.2790   -68.9     2.5   109.6     2.3  -120.3     4.4
2008.2813   -68.7     2.4   109.3     2.3  -120.2     4.1
2008.2840   -68.5     2.4   109.8     2.3  -117.1     3.8
2008.2870   -69.1     2.3   110.8     2.3  -112.9     4.0
2008.2900   -68.5     2.3   111.8     2.3  -110.6     3.8
2008.2922   -69.8     2.2   110.9     2.4  -118.3     3.8
2008.2950   -67.4     2.1   112.2     2.4  -112.2     3.8
2008.2980   -67.6     2.2   110.3     2.3  -117.5     3.8
2008.3010   -68.8     2.2   111.3     2.3  -119.8     3.8
2008.3032   -67.9     2.3   108.9     2.3  -120.1     3.8
2008.3060   -66.9     2.2   110.7     2.3  -120.0     3.9
2008.3090   -67.5     2.1   109.5     2.4  -120.6     4.0
2008.3114   -66.1     2.2   109.0     2.6  -120.6     3.9
2008.3142   -66.0     2.3   108.4     2.5  -122.0     3.7
2008.3170   -67.0     2.2   108.8     2.5  -119.9     3.9
2008.3200   -67.5     2.1   108.3     2.3  -118.5     4.1
2008.3223   -68.1     2.2   108.7     2.3  -123.5     3.9
2008.3250   -67.1     2.2   109.4     2.3  -121.4     3.8
2008.3280   -68.2     2.4   109.0     2.3  -123.8     4.0
2008.3310   -65.7     2.6   109.2     2.3  -129.3     3.9
2008.3333   -66.2     2.4   108.0     2.3  -130.1     3.7
2008.3360   -66.9     2.5   108.5     2.3  -127.0     3.8
2008.3390   -67.7     2.3   109.3     2.3  -125.9     3.7
2008.3420   -67.4     2.2   107.7     2.3  -124.0     3.9
2008.3442   -68.3     2.2   109.6     2.3  -121.6     4.2
2008.3470   -67.1     2.2   108.2     2.3  -117.7     4.1
2008.3500   -66.8     2.3   107.9     2.3  -116.1     4.0
2008.3530   -65.3     2.4   108.0     2.3  -121.2     3.9
2008.3552   -67.0     2.3   108.4     2.2  -122.0     3.9
2008.3580   -67.1     2.4   106.9     2.3  -120.1     3.7
2008.3610   -66.9     2.3   108.7     2.5  -121.8     3.7
2008.3634   -67.4     2.6   109.5     2.5  -121.7     3.9
2008.3662   -67.1     2.4   108.9     2.5  -120.0     4.0
2008.3690   -66.6     2.3   107.6     2.5  -124.0     3.7
2008.3720   -67.3     2.2   108.1     2.3  -122.2     3.6
